id,status,changetime,description,reporter,story_priority,resolution,time,remaining_time,summary,keywords,drp_resources,milestone,owner,rd_points,sprint,type
377,closed,2016-08-27 01:28:50.077223+00:00,é preciso alimentar a massa de dados para que o aplicativo possa consumir os dados da tabela características,po,Linear,,2016-08-26 12:11:13.356676+00:00,,Como Desenvolvedor desejo gerar CRUD de Características integrado com o serviços para gerar a massa de dados para o aplicativo,características,,milestone1,Everton,3,SPRINT 6,story
379,closed,2016-08-26 17:05:06.785097+00:00,,po,,,2016-08-26 12:17:34.453101+00:00,,Implementar a listagem das Características,,,milestone1,Everton,,SPRINT 6,task
380,closed,2016-08-26 17:05:09.257387+00:00,,po,,,2016-08-26 12:22:16.786498+00:00,,Implementar a edição das Características,,,milestone1,Everton,,SPRINT 6,task
381,closed,2016-08-26 17:05:11.283511+00:00,,scrummaster,,,2016-08-26 12:25:19.257347+00:00,,Implementar o cadastro das Características,,,milestone1,Everton,,SPRINT 6,task
382,closed,2016-08-26 17:05:18.723944+00:00,,po,,,2016-08-26 12:26:23.404466+00:00,,Implementar a exclusão das Características,,,milestone1,Everton,,SPRINT 6,task
383,closed,2016-08-26 17:05:21.178794+00:00,verificar se todas as funcionalidades do CRUD estão funcionando,po,,,2016-08-26 12:30:41.280642+00:00,,Testar o CRUD de tipos das Características,,,milestone1,Everton,,SPRINT 6,task
384,closed,2016-08-26 17:05:22.719331+00:00,,po,,,2016-08-26 12:30:59.990648+00:00,,Alimentar a base de dados com as Características que serão utilizadas no aplicativo,,,milestone1,Everton,,SPRINT 6,task
385,closed,2016-08-26 17:05:25.998684+00:00,verificar se o aplicativo está trazendo as informações cadastradas no Dashboard,po,,,2016-08-26 12:33:58.543580+00:00,,Testar a integração do aplicativo com a base de dados,,,milestone1,Everton,,SPRINT 6,task
387,closed,2016-08-27 00:36:19.201810+00:00,,po,Linear,,2016-08-26 12:39:47.146605+00:00,,Como Desenvolvedor desejo gerar CRUD de tipos de agenda integrado com o serviços para gerar a massa de dados para o aplicativo,"tipos, agenda",,milestone1,Paul,3,SPRINT 6,story
388,closed,2016-08-27 00:36:28.476253+00:00,,po,,,2016-08-26 12:42:16.398360+00:00,,Implementar o cadastro dos tipos de agenda,,,milestone1,Paul,,SPRINT 6,task
389,closed,2016-08-27 00:36:32.201168+00:00,,po,,,2016-08-26 12:42:25.360976+00:00,,Implementar a listagem dos tipos de agenda,,,milestone1,Paul,,SPRINT 6,task
390,closed,2016-08-27 00:36:35.077853+00:00,,po,,,2016-08-26 12:42:34.007173+00:00,,Implementar a edição dos tipos de agenda,,,milestone1,Paul,,SPRINT 6,task
391,closed,2016-08-27 00:36:37.333562+00:00,,po,,,2016-08-26 12:42:44.143842+00:00,,Implementar a exclusão dos tipos de agenda,,,milestone1,Paul,,SPRINT 6,task
392,closed,2016-08-27 00:36:39.581479+00:00,,po,,,2016-08-26 12:42:58.534175+00:00,,Testar o CRUD de tipos de agenda,,,milestone1,Paul,,SPRINT 6,task
393,closed,2016-08-27 00:36:41.513404+00:00,,po,,,2016-08-26 12:43:38.702504+00:00,,Alimentar a base de dados com os tipos de agenda que serão utilizadas no aplicativo,,,milestone1,Paul,,SPRINT 6,task
394,closed,2016-08-27 00:36:45.054977+00:00,,po,,,2016-08-26 12:43:51.001521+00:00,,Testar a integração do aplicativo com a base de dados,,,milestone1,Paul,,SPRINT 6,task
395,closed,2016-08-27 00:36:48.524945+00:00,,po,Linear,,2016-08-26 12:52:59.910419+00:00,,Como Desenvolvedor desejo gerar CRUD de tipos de dados integrado com o serviços para gerar a massa de dados para o aplicativo,"tipos, dados",,milestone1,Wellington,3,SPRINT 6,story
396,closed,2016-08-27 01:05:46.623766+00:00,,po,,,2016-08-26 12:55:41.348443+00:00,,Definir os tipos de dados que serão utilizados,,,milestone1,Wellington,,SPRINT 6,task
397,closed,2016-08-27 01:05:48.927383+00:00,,po,,,2016-08-26 12:55:54.032977+00:00,,Implementar o cadastro dos tipos de dados,,,milestone1,Wellington,,SPRINT 6,task
398,closed,2016-08-27 01:05:52.512517+00:00,,po,,,2016-08-26 12:56:02.951949+00:00,,Implementar a listagem dos tipos de dados,,,milestone1,Wellington,,SPRINT 6,task
399,closed,2016-08-27 01:05:55.285900+00:00,,po,,,2016-08-26 12:56:11.649027+00:00,,Implementar a edição dos tipos de dados,,,milestone1,Wellington,,SPRINT 6,task
400,closed,2016-08-27 01:05:57.694689+00:00,,po,,,2016-08-26 12:56:19.186265+00:00,,Implementar a exclusão dos tipos de dados,,,milestone1,Wellington,,SPRINT 6,task
401,closed,2016-08-27 01:06:00.098990+00:00,,po,,,2016-08-26 12:56:29.909696+00:00,,Testar o CRUD de tipos de dados,,,milestone1,Wellington,,SPRINT 6,task
402,closed,2016-08-27 01:06:02.380351+00:00,,po,,,2016-08-26 12:56:45.112198+00:00,,Alimentar a base de dados com os tipos de dados que serão utilizadas no aplicativo,,,milestone1,Wellington,,SPRINT 6,task
