id,status,changetime,description,reporter,story_priority,resolution,time,remaining_time,summary,keywords,drp_resources,milestone,owner,rd_points,sprint,type
97,closed,2016-02-27 01:33:21.570826+00:00,Configurar toda infraestrutura para hospedagem dos serviços para ser consumidos pelo aplicativo,po,Linear,,2016-02-26 23:10:06.074617+00:00,,Como desenvolvedor necessito criar a infraestrutura na Amazon,infra,,milestone1,Paul,8,SPRINT 3,story
99,closed,2016-02-26 23:14:14.457582+00:00,Criação do usuário com poderes para criar a infraestrutura,po,,,2016-02-26 23:12:15.748999+00:00,,Criar usuário para DevOps,,,milestone1,Paul,,SPRINT 3,task
98,closed,2016-02-26 23:14:10.761249+00:00,Criar a conta na Amazon para gerar a infraestrutura e inserção dos dados financeiros,po,,,2016-02-26 23:10:57.459052+00:00,,Criar conta,,,milestone1,Paul,,SPRINT 3,task
100,closed,2016-02-27 01:33:24.206694+00:00,Atribuição de permissões para o usuário,po,,,2016-02-26 23:15:29.569069+00:00,,Criar Roles para o perfil,,,milestone1,Paul,,SPRINT 3,task
101,closed,2016-02-27 01:33:30.159415+00:00,criar a instância Amazon Elastic Compute Cloud para hospedagem da aplicação,po,,,2016-02-26 23:17:48.199563+00:00,,Criar host EC2,,,milestone1,Paul,,SPRINT 3,task
102,closed,2016-02-27 01:33:35.602242+00:00,"Criar instância de banco de dados RDS, roles e url pública",po,,,2016-02-26 23:18:57.905838+00:00,,Criar instancia de banco de dados,,,milestone1,Paul,,SPRINT 3,task
103,closed,2016-02-27 01:36:29.273213+00:00,,po,,,2016-02-26 23:27:32.044982+00:00,,Como desenvolvedor desejo Integrar banco de dados da Amazon com a aplicação de Webservices,,,milestone1,Wellington,2,SPRINT 3,story
104,closed,2016-02-27 01:33:43.614860+00:00,Aplicar as Configurações do banco de dados cloud na aplicação de webservices do sistema de turismo,po,,,2016-02-26 23:29:09.201969+00:00,,Atualização de persistence,,,milestone1,Wellington,,SPRINT 3,task
105,closed,2016-02-27 01:33:51.664206+00:00,desenvolver as operações CRUD do webservice de agenda,po,,,2016-02-26 23:31:40.022404+00:00,,Como desenvolvedor desejo implementar o Webservices RestFul: Classe Agenda,Agenda,,milestone1,Wellington,3,SPRINT 3,story
106,closed,2016-02-27 01:36:32.673336+00:00,,po,,,2016-02-26 23:32:16.607689+00:00,,Criar webservice para inserir,,,milestone1,Wellington,,SPRINT 3,task
107,closed,2016-02-27 01:36:34.184182+00:00,,po,,,2016-02-26 23:32:44.700998+00:00,,Criar webservice para alterar,,,milestone1,Wellington,,SPRINT 3,task
108,closed,2016-02-27 01:36:35.574338+00:00,,po,,,2016-02-26 23:33:08.502308+00:00,,Criar webservice para excluir,,,milestone1,Wellington,,SPRINT 3,task
109,closed,2016-02-27 01:36:36.945361+00:00,,po,,,2016-02-26 23:33:21.369332+00:00,,Criar webservice para listar todos,,,milestone1,Wellington,,SPRINT 3,task
110,closed,2016-02-27 01:36:38.555324+00:00,,po,,,2016-02-26 23:34:47.913585+00:00,,Criar webservice para listar por id,,,milestone1,Wellington,,SPRINT 3,task
111,closed,2016-02-27 01:36:39.897359+00:00,,po,,,2016-02-26 23:35:00.535826+00:00,,Criar webservice para contar registros,,,milestone1,Wellington,,SPRINT 3,task
112,closed,2016-02-27 01:36:41.304921+00:00,,po,,,2016-02-26 23:35:14.029274+00:00,,Criar webservice para pesquisar por intervalo,,,milestone1,Wellington,,SPRINT 3,task
113,closed,2016-02-27 01:36:45.320164+00:00,Gerar operações CRUD para a classe alimentação,po,Linear,,2016-02-26 23:36:38.607201+00:00,,Como desenvolvedor desejo desenvolver o Webservices RestFul: Classe Alimentação,,,milestone1,Victor,3,SPRINT 3,story
114,closed,2016-02-27 01:37:21.065977+00:00,,po,,,2016-02-26 23:36:48.742481+00:00,,Criar webservice para inserir,,,milestone1,Victor,,SPRINT 3,task
115,closed,2016-02-27 01:37:22.393293+00:00,,po,,,2016-02-26 23:37:03.250011+00:00,,Criar webservice para alterar,,,milestone1,Victor,,SPRINT 3,task
116,closed,2016-02-27 01:37:23.680831+00:00,,po,,,2016-02-26 23:37:14.746648+00:00,,Criar webservice para excluir,,,milestone1,Victor,,SPRINT 3,task
117,closed,2016-02-27 01:37:25.225659+00:00,,po,,,2016-02-26 23:37:24.650704+00:00,,Criar webservice para listar todos,,,milestone1,Victor,,SPRINT 3,task
118,closed,2016-02-27 01:37:26.389011+00:00,,po,,,2016-02-26 23:37:34.170059+00:00,,Criar webservice para listar por id,,,milestone1,Victor,,SPRINT 3,task
